Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross,Release Year,Release Month,Release Month Name,Release Quarter,Decade,Season,Inflation Multiplier,Rank (Nominal),Rank (Inflation Adj),Pct (Nominal),Pct (Inflation Adj),Gross Bucket (Nominal),Franchise Tag
The Air Up There,1994-01-07,Comedy,PG,20782439,42940186,1994,1,January,1,1990,Winter,2.066176448,368,340,0.6356,0.5872,$10–50M,The Air Up There
Cabin Boy,1994-01-07,Comedy,PG-13,3469493,7168577,1994,1,January,1,1990,Winter,2.066174222,533,527,0.9206,0.9102,<$10M,Cabin Boy
Iron Will,1994-01-14,Drama,PG,20623071,42610902,1994,1,January,1,1990,Winter,2.066176371,369,342,0.6373,0.5907,$10–50M,Iron Will
Red Rock West,1994-01-28,Mystery,R,2502551,5170709,1994,1,January,1,1990,Winter,2.066175275,543,541,0.9378,0.9344,<$10M,Red Rock West
Blank Check,1994-02-11,Comedy,PG,30573770,63170804,1994,2,February,1,1990,Winter,2.066176464,292,263,0.5043,0.4542,$10–50M,Blank Check
Angie,1994-03-04,Comedy,R,9252349,19116981,1994,3,March,1,1990,Spring,2.066175952,468,456,0.8083,0.7876,<$10M,Angie
The Ref,1994-03-09,Comedy,R,11325885,23401275,1994,3,March,1,1990,Spring,2.066176286,448,433,0.7737,0.7478,$10–50M,The Ref
D2: The Mighty Ducks,1994-03-25,Comedy,PG,45604206,94226333,1994,3,March,1,1990,Spring,2.066176374,233,188,0.4024,0.3247,$10–50M,D2
Holy Matrimony,1994-04-08,Comedy,PG-13,713234,1473665,1994,4,April,2,1990,Spring,2.066173233,557,556,0.962,0.9603,<$10M,Holy Matrimony
White Fang 2: Myth of the White Wolf,1994-04-15,Adventure,PG,8752399,18083994,1994,4,April,2,1990,Spring,2.066175685,476,460,0.8221,0.7945,<$10M,White Fang 2
The Inkwell,1994-04-22,Comedy,R,8864699,18316030,1994,4,April,2,1990,Spring,2.066176189,475,459,0.8204,0.7927,<$10M,The Inkwell
When a Man Loves a Woman,1994-04-29,Drama,R,50021959,103354194,1994,4,April,2,1990,Spring,2.066176457,221,173,0.3817,0.2988,$50–100M,When a Man Loves a Woman
3 Ninjas Kick Back,1994-05-06,Action,PG,11744960,24267154,1994,5,May,2,1990,Spring,2.06617596,446,428,0.7703,0.7392,$10–50M,3 Ninjas Kick Back
Renaissance Man,1994-06-03,Comedy,PG-13,24172899,49945474,1994,6,June,2,1990,Summer,2.066176423,336,313,0.5803,0.5406,$10–50M,Renaissance Man
The Lion King,1994-06-15,Adventure,G,422780140,761640898,1994,6,June,2,1990,Summer,1.801505856,7,10,0.0121,0.0173,>$300M,The Lion King
I Love Trouble,1994-06-29,Romantic Comedy,PG,30806194,63651027,1994,6,June,2,1990,Summer,2.06617627,289,261,0.4991,0.4508,$10–50M,I Love Trouble
Angels in the Outfield,1994-07-15,Comedy,PG,50236831,103798152,1994,7,July,3,1990,Summer,2.066176348,218,172,0.3765,0.2971,$50–100M,Angels in the Outfield
In the Army Now,1994-08-12,Comedy,PG,28881266,59673787,1994,8,August,3,1990,Summer,2.066176289,304,275,0.525,0.475,$10–50M,In the Army Now
Color of Night,1994-08-19,Thriller/Suspense,R,19750470,40804816,1994,8,August,3,1990,Summer,2.066017467,376,350,0.6494,0.6045,$10–50M,Color of Night
Camp Nowhere,1994-08-26,Comedy,PG,10442641,21576332,1994,8,August,3,1990,Summer,2.066175788,456,441,0.7876,0.7617,$10–50M,Camp Nowhere
It's Pat,1994-08-26,Comedy,PG-13,60822,125666,1994,8,August,3,1990,Summer,2.066127388,570,569,0.9845,0.9827,<$10M,It's Pat
A Simple Twist of Fate,1994-09-02,Drama,PG-13,3404935,7035189,1994,9,September,3,1990,Fall,2.066174244,534,529,0.9223,0.9136,<$10M,A Simple Twist of Fate
Quiz Show,1994-09-14,Drama,PG-13,24787282,50840394,1994,9,September,3,1990,Fall,2.051067721,331,307,0.5717,0.5302,$10–50M,Quiz Show
Terminal Velocity,1994-09-23,Action,PG-13,16478900,34048315,1994,9,September,3,1990,Fall,2.066176444,407,376,0.7029,0.6494,$10–50M,Terminal Velocity
Ed Wood,1994-09-30,Comedy,R,5828466,12042634,1994,9,September,3,1990,Fall,2.06617556,504,493,0.8705,0.8515,<$10M,Ed Wood
The Puppet Masters,1994-10-21,Horror,R,8579626,17727017,1994,10,October,4,1990,Fall,2.066175962,478,461,0.8256,0.7962,<$10M,The Puppet Masters
Squanto: A Warrior's Tale,1994-10-28,Drama,PG,3319344,6858345,1994,10,October,4,1990,Fall,2.066174822,535,530,0.924,0.9154,<$10M,Squanto
The Santa Clause,1994-11-11,Comedy,PG,144833357,298369717,1994,11,November,4,1990,Fall,2.060089769,66,45,0.114,0.0777,$100–300M,The Santa Clause
A Low Down Dirty Shame,1994-11-23,Action,R,29317886,60321919,1994,11,November,4,1990,Fall,2.057512571,297,269,0.513,0.4646,$10–50M,A Low Down Dirty Shame
The Jungle Book,1994-12-25,Adventure,PG,44342956,88930321,1994,12,December,4,1990,Winter,2.005511789,239,204,0.4128,0.3523,$10–50M,The Jungle Book
Houseguest,1995-01-06,Comedy,PG,26325256,51016522,1995,1,January,1,1990,Winter,1.937930708,322,305,0.5561,0.5268,$10–50M,Houseguest
Bad Company,1995-01-20,Thriller/Suspense,R,3523909,6829092,1995,1,January,1,1990,Winter,1.93793086,532,531,0.9188,0.9171,<$10M,Bad Company
Miami Rhapsody,1995-01-27,Romantic Comedy,PG-13,5086578,9857435,1995,1,January,1,1990,Winter,1.937930569,512,509,0.8843,0.8791,<$10M,Miami Rhapsody
The Jerky Boys,1995-02-03,Comedy,R,7555256,14641561,1995,2,February,1,1990,Winter,1.937930495,490,477,0.8463,0.8238,<$10M,The Jerky Boys
Heavy Weights,1995-02-17,Comedy,PG,17671310,34245779,1995,2,February,1,1990,Winter,1.937930974,400,375,0.6908,0.6477,$10–50M,Heavy Weights
Man of the House,1995-03-03,Comedy,PG,40029009,77573459,1995,3,March,1,1990,Spring,1.937931039,253,225,0.437,0.3886,$10–50M,Man of the House
Roommates,1995-03-03,Comedy,PG,12076989,23404369,1995,3,March,1,1990,Spring,1.937930804,444,432,0.7668,0.7461,$10–50M,Roommates
Tall Tale,1995-03-24,Western,PG,8247627,15983331,1995,3,March,1,1990,Spring,1.937930874,482,469,0.8325,0.81,<$10M,Tall Tale
A Pyromaniac's Love Story,1995-03-28,Romantic Comedy,PG,468240,907414,1995,3,March,1,1990,Spring,1.937924996,560,560,0.9672,0.9672,<$10M,A Pyromaniac's Love Story
Jefferson in Paris,1995-03-31,Drama,PG-13,2461628,4770461,1995,3,March,1,1990,Spring,1.937929289,544,542,0.9396,0.9361,<$10M,Jefferson in Paris
Funny Bones,1995-03-31,Comedy,R,529135,1025425,1995,3,March,1,1990,Spring,1.937926994,559,559,0.9655,0.9655,<$10M,Funny Bones
A Goofy Movie,1995-04-07,Comedy,G,35336439,68479579,1995,4,April,2,1990,Spring,1.937930956,270,246,0.4663,0.4249,$10–50M,A Goofy Movie
While You Were Sleeping,1995-04-21,Romantic Comedy,PG,81057016,157082900,1995,4,April,2,1990,Spring,1.93793095,138,112,0.2383,0.1934,$50–100M,While You Were Sleeping
Crimson Tide,1995-05-12,Action,R,91387195,177102077,1995,5,May,2,1990,Spring,1.937930987,114,101,0.1969,0.1744,$50–100M,Crimson Tide
Mad Love,1995-05-26,Drama,PG-13,15446532,29934306,1995,5,May,2,1990,Spring,1.937930534,413,398,0.7133,0.6874,$10–50M,Mad Love
Pocahontas,1995-06-10,Adventure,G,141579773,274370957,1995,6,June,2,1990,Summer,1.937924826,69,53,0.1192,0.0915,$100–300M,Pocahontas
Judge Dredd,1995-06-30,Action,R,34687912,67222776,1995,6,June,2,1990,Summer,1.937930885,274,254,0.4732,0.4387,$10–50M,Judge Dredd
Operation Dumbo Drop,1995-07-28,Adventure,PG,24670346,47809421,1995,7,July,3,1990,Summer,1.937930704,333,320,0.5751,0.5527,$10–50M,Operation Dumbo Drop
Dangerous Minds,1995-08-11,Drama,R,84919401,164552293,1995,8,August,3,1990,Summer,1.937746746,128,104,0.2211,0.1796,$50–100M,Dangerous Minds
A Kid in King Arthur's Court,1995-08-11,Adventure,PG,13406717,25981285,1995,8,August,3,1990,Summer,1.937930442,429,416,0.7409,0.7185,$10–50M,A Kid in King Arthur's Court
The Tie That Binds,1995-09-08,Thriller/Suspense,R,5762795,11167895,1995,9,September,3,1990,Fall,1.937930293,505,501,0.8722,0.8653,<$10M,The Tie That Binds
Unstrung Heroes,1995-09-15,Drama,PG,7929000,15365850,1995,9,September,3,1990,Fall,1.937930382,483,471,0.8342,0.8135,<$10M,Unstrung Heroes
The Big Green,1995-09-29,Comedy,PG,17736619,34372339,1995,9,September,3,1990,Fall,1.93793073,399,374,0.6891,0.6459,$10–50M,The Big Green
Dead Presidents,1995-10-04,Drama,R,24120194,46741467,1995,10,October,4,1990,Fall,1.93785618,337,324,0.582,0.5596,$10–50M,Dead Presidents
The Scarlet Letter,1995-10-13,Drama,R,10359006,20075033,1995,10,October,4,1990,Fall,1.937930435,458,451,0.791,0.7789,$10–50M,The Scarlet Letter
Feast of July,1995-10-13,Drama,R,293274,568342,1995,10,October,4,1990,Fall,1.937921534,563,562,0.9724,0.9706,<$10M,Feast of July
Powder,1995-10-27,Drama,PG-13,30833914,59727216,1995,10,October,4,1990,Fall,1.937062418,288,273,0.4974,0.4715,$10–50M,Powder
Toy Story,1995-11-22,Adventure,G,191796233,370409631,1995,11,November,4,1990,Fall,1.931266455,47,29,0.0812,0.0501,$100–300M,Toy Story
Father of the Bride Part II,1995-12-08,Comedy,PG,76578911,147658438,1995,12,December,4,1990,Winter,1.928186704,143,122,0.247,0.2107,$50–100M,Father of the Bride Part II
Nixon,1995-12-20,Drama,R,13668249,26302005,1995,12,December,4,1990,Winter,1.924314153,428,413,0.7392,0.7133,$10–50M,Nixon
Tom and Huck,1995-12-22,Adventure,PG,23837227,45911517,1995,12,December,4,1990,Winter,1.926042698,342,327,0.5907,0.5648,$10–50M,Tom and Huck
Mr. Holland's Opus,1995-12-29,Drama,PG,82582604,157508868,1995,12,December,4,1990,Winter,1.907288707,134,111,0.2314,0.1917,$50–100M,Mr. Holland's Opus
White Squall,1996-02-02,Adventure,PG-13,10229300,19509726,1996,2,February,1,1990,Winter,1.907239596,460,452,0.7945,0.7807,$10–50M,White Squall
Muppet Treasure Island,1996-02-16,Adventure,G,34327391,65470567,1996,2,February,1,1990,Winter,1.907239819,275,258,0.475,0.4456,$10–50M,Muppet Treasure Island
Mr. Wrong,1996-02-16,Romantic Comedy,PG-13,12805071,24422334,1996,2,February,1,1990,Winter,1.907239249,434,426,0.7496,0.7358,$10–50M,Mr. Wrong
Before and After,1996-02-23,Drama,PG-13,8642118,16482589,1996,2,February,1,1990,Winter,1.907239522,477,465,0.8238,0.8031,<$10M,Before and After
Up Close & Personal,1996-03-01,Drama,PG-13,51045801,97356578,1996,3,March,1,1990,Spring,1.907239696,212,181,0.3661,0.3126,$50–100M,Up Close & Personal
Homeward Bound II: Lost in San Franc…,1996-03-08,Adventure,G,32709423,62384706,1996,3,March,1,1990,Spring,1.907239574,279,265,0.4819,0.4577,$10–50M,Homeward Bound II
Two Much,1996-03-15,Romantic Comedy,PG-13,1078555,2057055,1996,3,March,1,1990,Spring,1.907232362,553,553,0.9551,0.9551,<$10M,Two Much
Un indien dans la ville,1996-03-22,Comedy,PG,1029731,1963937,1996,3,March,1,1990,Spring,1.907233054,555,554,0.9585,0.9568,<$10M,Un indien dans la ville
James and the Giant Peach,1996-04-12,Adventure,PG,28921264,55159783,1996,4,April,2,1990,Spring,1.907239704,303,290,0.5233,0.5009,$10–50M,James and the Giant Peach
Celtic Pride,1996-04-19,Comedy,PG-13,9240378,17623615,1996,4,April,2,1990,Spring,1.907239617,469,462,0.81,0.7979,<$10M,Celtic Pride
Last Dance,1996-05-03,Drama,R,5857534,11171714,1996,5,May,2,1990,Spring,1.907238439,502,500,0.867,0.8636,<$10M,Last Dance
Boys,1996-05-10,Drama,PG-13,21930418,41826566,1996,5,May,2,1990,Spring,1.907239798,355,346,0.6131,0.5976,$10–50M,Boys
Spy Hard,1996-05-24,Comedy,PG-13,26936265,51373912,1996,5,May,2,1990,Spring,1.907239627,316,304,0.5458,0.525,$10–50M,Spy Hard
Eddie,1996-05-31,Comedy,PG-13,31369401,59828966,1996,5,May,2,1990,Spring,1.90723967,286,271,0.494,0.468,$10–50M,Eddie
The Rock,1996-06-07,Action,R,134069511,255702705,1996,6,June,2,1990,Summer,1.907239783,77,60,0.133,0.1036,$100–300M,The Rock
The Hunchback of Notre Dame,1996-06-21,Adventure,G,100138851,190988799,1996,6,June,2,1990,Summer,1.907239769,102,88,0.1762,0.152,$100–300M,The Hunchback of Notre Dame
Phenomenon,1996-07-05,Drama,PG,104636382,199559799,1996,7,July,3,1990,Summer,1.907174113,97,84,0.1675,0.1451,$100–300M,Phenomenon
Kazaam,1996-07-17,Comedy,PG,18880508,36009655,1996,7,July,3,1990,Summer,1.907239731,387,366,0.6684,0.6321,$10–50M,Kazaam
Jack,1996-08-09,Drama,PG-13,58617334,111792852,1996,8,August,3,1990,Summer,1.907163707,186,155,0.3212,0.2677,$50–100M,Jack
First Kid,1996-08-30,Comedy,PG,26465920,50465108,1996,8,August,3,1990,Summer,1.90679591,321,311,0.5544,0.5371,$10–50M,First Kid
The Rich Man's Wife,1996-09-13,Thriller/Suspense,R,8538318,16284619,1996,9,September,3,1990,Fall,1.907239693,479,468,0.8273,0.8083,<$10M,The Rich Man's Wife
D3: The Mighty Ducks,1996-10-04,Comedy,PG,22936273,43713554,1996,10,October,4,1990,Fall,1.905869973,349,337,0.6028,0.582,$10–50M,D3
The Associate,1996-10-25,Comedy,PG-13,12772657,24333094,1996,10,October,4,1990,Fall,1.905092574,435,427,0.7513,0.7375,$10–50M,The Associate
Ransom,1996-11-08,Action,R,136492681,259807820,1996,11,November,4,1990,Fall,1.903456054,74,57,0.1278,0.0984,$100–300M,Ransom
The War at Home,1996-11-20,Drama,R,34368,65543,1996,11,November,4,1990,Fall,1.907093808,573,572,0.9896,0.9879,<$10M,The War at Home
101 Dalmatians,1996-11-27,Comedy,G,136189294,258728898,1996,11,November,4,1990,Fall,1.899774133,75,58,0.1295,0.1002,$100–300M,101 Dalmatians
The Preacher's Wife,1996-12-13,Drama,PG,48102795,91076877,1996,12,December,4,1990,Winter,1.893380146,227,200,0.3921,0.3454,$10–50M,The Preacher's Wife
Evita,1996-12-25,Musical,PG,50047179,92077628,1996,12,December,4,1990,Winter,1.839816546,219,196,0.3782,0.3385,$50–100M,Evita
Metro,1997-01-17,Action,R,32017895,58804106,1997,1,January,1,1990,Winter,1.836601251,282,277,0.487,0.4784,$10–50M,Metro
Prefontaine,1997-01-24,Drama,PG-13,590817,1085093,1997,1,January,1,1990,Winter,1.836597457,558,558,0.9637,0.9637,<$10M,Prefontaine
Shadow Conspiracy,1997-01-31,Thriller/Suspense,R,2154540,3957025,1997,1,January,1,1990,Winter,1.836598531,546,545,0.943,0.9413,<$10M,Shadow Conspiracy
That Darn Cat,1997-02-14,Comedy,PG,18301828,33613158,1997,2,February,1,1990,Winter,1.836601131,391,378,0.6753,0.6528,$10–50M,That Darn Cat
Jungle 2 Jungle,1997-03-07,Comedy,PG,59925026,110058379,1997,3,March,1,1990,Spring,1.836601272,182,158,0.3143,0.2729,$50–100M,Jungle 2 Jungle
The Sixth Man,1997-03-28,Comedy,PG-13,14765099,27117599,1997,3,March,1,1990,Spring,1.836601231,421,412,0.7271,0.7116,$10–50M,The Sixth Man
Grosse Pointe Blank,1997-04-11,Black Comedy,R,28084357,51579764,1997,4,April,2,1990,Spring,1.836601208,308,303,0.532,0.5233,$10–50M,Grosse Pointe Blank
Romy and Michele's High School Reunion,1997-04-25,Comedy,R,29235353,53693680,1997,4,April,2,1990,Spring,1.836601049,299,297,0.5164,0.513,$10–50M,Romy and Michele's High School Reunion
Gone Fishin',1997-05-30,Comedy,PG,19745922,36265379,1997,5,May,2,1990,Spring,1.836600945,377,363,0.6511,0.6269,$10–50M,Gone Fishin'
Con Air,1997-06-06,Action,R,101117573,185712664,1997,6,June,2,1990,Summer,1.83660128,101,89,0.1744,0.1537,$100–300M,Con Air
Hercules,1997-06-13,Adventure,G,99112101,182029412,1997,6,June,2,1990,Summer,1.836601284,104,94,0.1796,0.1623,$50–100M,Hercules
George Of The Jungle,1997-07-16,Comedy,PG,105263257,193326632,1997,7,July,3,1990,Summer,1.836601275,96,86,0.1658,0.1485,$100–300M,George Of The Jungle
Nothing To Lose,1997-07-18,Comedy,R,44480039,81692095,1997,7,July,3,1990,Summer,1.836601245,238,218,0.4111,0.3765,$10–50M,Nothing To Lose
Air Bud,1997-08-01,Comedy,PG,24646936,45266588,1997,8,August,3,1990,Summer,1.836601028,334,330,0.5769,0.5699,$10–50M,Air Bud
G.I. Jane,1997-08-22,Drama,R,48169156,88467531,1997,8,August,3,1990,Summer,1.836601227,226,205,0.3903,0.3541,$10–50M,G.I. Jane
A Thousand Acres,1997-09-19,Drama,R,7928412,14561324,1997,9,September,3,1990,Fall,1.836600318,484,480,0.8359,0.829,<$10M,A Thousand Acres
Washington Square,1997-10-05,Drama,PG,1775644,3257546,1997,10,October,4,1990,Fall,1.83457157,547,547,0.9447,0.9447,<$10M,Washington Square
Rocket Man,1997-10-10,Comedy,PG,15448043,28371890,1997,10,October,4,1990,Fall,1.836600921,412,406,0.7116,0.7012,$10–50M,Rocket Man
Playing God,1997-10-17,Thriller/Suspense,R,4166918,7652965,1997,10,October,4,1990,Fall,1.836600816,528,522,0.9119,0.9016,<$10M,Playing God
Flubber,1997-11-26,Comedy,PG,92993801,170406423,1997,11,November,4,1990,Fall,1.832449273,113,102,0.1952,0.1762,$50–100M,Flubber
An American Werewolf in Paris,1997-12-25,Horror,R,26570463,48546161,1997,12,December,4,1990,Winter,1.827072453,320,317,0.5527,0.5475,$10–50M,An American Werewolf in Paris
Mr. Magoo,1997-12-25,Comedy,PG,21437192,39145784,1997,12,December,4,1990,Winter,1.826068638,362,356,0.6252,0.6149,$10–50M,Mr. Magoo
Kundun,1997-12-25,Drama,PG-13,5686694,10236836,1997,12,December,4,1990,Winter,1.800138358,506,505,0.8739,0.8722,<$10M,Kundun
Deep Rising,1998-01-30,Action,R,11203026,20136775,1998,1,January,1,1990,Winter,1.797440709,451,450,0.7789,0.7772,$10–50M,Deep Rising
Krippendorf's Tribe,1998-02-27,Comedy,PG-13,7571115,13608633,1998,2,February,1,1990,Winter,1.797441064,489,484,0.8446,0.8359,<$10M,Krippendorf's Tribe
An Alan Smithee Film: Burn Hollywood Burn,1998-02-27,Comedy,R,45779,82277,1998,2,February,1,1990,Winter,1.797265122,572,571,0.9879,0.9862,<$10M,An Alan Smithee Film
Meet the Deedles,1998-03-27,Comedy,PG,4356126,7829877,1998,3,March,1,1990,Spring,1.797440432,524,521,0.905,0.8998,<$10M,Meet the Deedles
He Got Game,1998-05-01,Drama,R,21567853,38766948,1998,5,May,2,1990,Spring,1.79744122,359,357,0.62,0.6166,$10–50M,He Got Game
The Horse Whisperer,1998-05-15,Drama,PG-13,75383563,135497531,1998,5,May,2,1990,Spring,1.79744132,147,129,0.2539,0.2228,$50–100M,The Horse Whisperer
"Six Days, Seven Nights",1998-06-12,Romantic Comedy,PG-13,74339294,133620516,1998,6,June,2,1990,Summer,1.797441283,149,132,0.2573,0.228,$50–100M,"Six Days, Seven Nights"
Mulan,1998-06-19,Adventure,G,120620254,216807832,1998,6,June,2,1990,Summer,1.797441348,85,72,0.1468,0.1244,$100–300M,Mulan
Armageddon,1998-07-01,Adventure,PG-13,201578182,362324957,1998,7,July,3,1990,Summer,1.797441337,43,32,0.0743,0.0553,$100–300M,Armageddon
Jane Austen's Mafia,1998-07-24,Comedy,PG-13,19843795,35668055,1998,7,July,3,1990,Summer,1.797441215,375,369,0.6477,0.6373,$10–50M,Jane Austen's Mafia
The Parent Trap,1998-07-29,Comedy,PG,66308518,119185667,1998,7,July,3,1990,Summer,1.797441273,162,146,0.2798,0.2522,$50–100M,The Parent Trap
Firelight,1998-09-04,Drama,R,784419,1409943,1998,9,September,3,1990,Fall,1.797436064,556,557,0.9603,0.962,<$10M,Firelight
Simon Birch,1998-09-11,Drama,PG,18253415,32809442,1998,9,September,3,1990,Fall,1.797441301,393,380,0.6788,0.6563,$10–50M,Simon Birch
Holy Man,1998-10-09,Comedy,PG,12069719,21694605,1998,10,October,4,1990,Fall,1.797440769,445,440,0.7686,0.7599,$10–50M,Holy Man
Beloved,1998-10-16,Drama,R,22852487,41062682,1998,10,October,4,1990,Fall,1.796858346,350,347,0.6045,0.5993,$10–50M,Beloved
The Waterboy,1998-11-06,Comedy,PG-13,161491646,288691833,1998,11,November,4,1990,Fall,1.787658001,62,48,0.1071,0.0829,$100–300M,The Waterboy
I'll Be Home For Christmas,1998-11-13,Comedy,PG,12214338,21941840,1998,11,November,4,1990,Fall,1.796400263,443,439,0.7651,0.7582,$10–50M,I'll Be Home For Christmas
A Bug's Life,1998-11-20,Adventure,G,162798565,288981698,1998,11,November,4,1990,Fall,1.775087502,61,47,0.1054,0.0812,$100–300M,A Bug's Life
Enemy of the State,1998-11-20,Action,R,111549836,198472008,1998,11,November,4,1990,Fall,1.779222768,91,85,0.1572,0.1468,$100–300M,Enemy of the State
Rushmore,1998-12-11,Black Comedy,R,17105219,28392518,1998,12,December,4,1990,Winter,1.659874568,403,404,0.696,0.6978,$10–50M,Rushmore
A Civil Action,1998-12-25,Drama,PG-13,56709981,94139530,1998,12,December,4,1990,Winter,1.660016955,194,191,0.3351,0.3299,$50–100M,A Civil Action
Mighty Joe Young,1998-12-25,Adventure,PG,50632037,87906042,1998,12,December,4,1990,Winter,1.736174312,216,206,0.3731,0.3558,$50–100M,Mighty Joe Young
My Favorite Martian,1999-02-12,Comedy,PG,36850101,61150849,1999,2,February,1,1990,Winter,1.659448613,265,266,0.4577,0.4594,$10–50M,My Favorite Martian
The Other Sister,1999-02-26,Romantic Comedy,PG-13,27807627,46145331,1999,2,February,1,1990,Winter,1.659448719,311,325,0.5371,0.5613,$10–50M,The Other Sister
Doug's 1st Movie,1999-03-26,Adventure,G,19421271,32228598,1999,3,March,1,1990,Spring,1.659448447,381,384,0.658,0.6632,$10–50M,Doug's 1st Movie
Ten Things I Hate About You,1999-03-31,Romantic Comedy,PG-13,38177966,63354375,1999,3,March,1,1990,Spring,1.659448673,258,262,0.4456,0.4525,$10–50M,Ten Things I Hate About You
Instinct,1999-06-04,Drama,R,34105207,56595842,1999,6,June,2,1990,Summer,1.659448717,276,283,0.4767,0.4888,$10–50M,Instinct
Tarzan,1999-06-16,Adventure,G,171091819,283900254,1999,6,June,2,1990,Summer,1.659344413,56,49,0.0967,0.0846,$100–300M,Tarzan
Summer of Sam,1999-07-02,Drama,R,19288130,32007656,1999,7,July,3,1990,Summer,1.659448376,383,387,0.6615,0.6684,$10–50M,Summer of Sam
Inspector Gadget,1999-07-23,Comedy,PG,97387965,161610341,1999,7,July,3,1990,Summer,1.659448793,106,106,0.1831,0.1831,$50–100M,Inspector Gadget
The Sixth Sense,1999-08-06,Thriller/Suspense,PG-13,293506292,485424724,1999,8,August,3,1990,Summer,1.653881832,20,17,0.0345,0.0294,$100–300M,The Sixth Sense
The 13th Warrior,1999-08-27,Action,R,32698899,54262148,1999,8,August,3,1990,Summer,1.659448778,280,295,0.4836,0.5095,$10–50M,The 13th Warrior
Breakfast of Champions,1999-09-17,Comedy,R,178287,295851,1999,9,September,3,1990,Fall,1.659408706,568,567,0.981,0.9793,<$10M,Breakfast of Champions
Mumford,1999-09-24,Comedy,R,4559569,7566363,1999,9,September,3,1990,Fall,1.659446978,521,523,0.8998,0.9033,<$10M,Mumford
"Mystery, Alaska",1999-10-01,Comedy,R,8891623,14755189,1999,10,October,4,1990,Fall,1.659448337,473,476,0.8169,0.8221,<$10M,"Mystery, Alaska"
The Straight Story,1999-10-15,Drama,G,6197866,10111144,1999,10,October,4,1990,Fall,1.631391192,501,506,0.8653,0.8739,<$10M,The Straight Story
The Insider,1999-11-05,Drama,R,28965197,47794214,1999,11,November,4,1990,Fall,1.650056583,302,321,0.5216,0.5544,$10–50M,The Insider
Toy Story 2,1999-11-19,Adventure,G,245852179,404450426,1999,11,November,4,1990,Fall,1.645095958,28,26,0.0484,0.0449,$100–300M,Toy Story 2
Cradle Will Rock,1999-12-08,Drama,R,2899970,4609153,1999,12,December,4,1990,Winter,1.589379545,540,544,0.9326,0.9396,<$10M,Cradle Will Rock
Deuce Bigalow: Male Gigolo,1999-12-10,Comedy,R,65535067,106921374,1999,12,December,4,1990,Winter,1.631513919,165,164,0.285,0.2832,$50–100M,Deuce Bigalow
Bicentennial Man,1999-12-17,Drama,PG,58220776,94838225,1999,12,December,4,1990,Winter,1.628941273,188,186,0.3247,0.3212,$50–100M,Bicentennial Man
Play it to the Bone,1999-12-24,Comedy,R,8427204,13180524,1999,12,December,4,1990,Winter,1.564044729,480,486,0.829,0.8394,<$10M,Play it to the Bone
Fantasia 2000 (IMAX),2000-01-01,Musical,G,60507228,94852354,2000,1,January,1,2000,Winter,1.567620219,180,185,0.3109,0.3195,$50–100M,Fantasia 2000 (IMAX)
Gun Shy,2000-02-04,Comedy,R,1638202,2562155,2000,2,February,1,2000,Winter,1.564004317,548,549,0.9465,0.9482,<$10M,Gun Shy
The Tigger Movie,2000-02-11,Adventure,G,45542421,71228678,2000,2,February,1,2000,Winter,1.56400728,234,239,0.4041,0.4128,$10–50M,The Tigger Movie
Mission to Mars,2000-03-10,Adventure,PG,60874615,95208344,2000,3,March,1,2000,Spring,1.564007329,178,183,0.3074,0.3161,$50–100M,Mission to Mars
High Fidelity,2000-03-31,Comedy,R,27277055,42661516,2000,3,March,1,2000,Spring,1.564007405,315,341,0.544,0.5889,$10–50M,High Fidelity
Keeping the Faith,2000-04-14,Romantic Comedy,PG-13,37036404,57925202,2000,4,April,2,2000,Spring,1.564007186,264,280,0.456,0.4836,$10–50M,Keeping the Faith
Dinosaur,2000-05-19,Adventure,PG,137748063,215438985,2000,5,May,2,2000,Spring,1.564007365,73,73,0.1261,0.1261,$100–300M,Dinosaur
Shanghai Noon,2000-05-26,Western,PG-13,56932305,89042541,2000,5,May,2,2000,Spring,1.564007307,193,203,0.3333,0.3506,$50–100M,Shanghai Noon
Gone in 60 Seconds,2000-06-09,Action,PG-13,101643008,158970411,2000,6,June,2,2000,Summer,1.564007344,100,110,0.1727,0.19,$100–300M,Gone in 60 Seconds
Fantasia 2000 (Theatrical Release),2000-06-16,Musical,G,9103630,14238144,2000,6,June,2,2000,Summer,1.564007325,471,483,0.8135,0.8342,<$10M,Fantasia 2000 (Theatrical Release)
The Kid,2000-07-07,Comedy,PG,69688384,108993148,2000,7,July,3,2000,Summer,1.564007396,155,162,0.2677,0.2798,$50–100M,The Kid
Coyote Ugly,2000-08-04,Drama,PG-13,60786269,95070168,2000,8,August,3,2000,Summer,1.564007293,179,184,0.3092,0.3178,$50–100M,Coyote Ugly
The Crew,2000-08-25,Comedy,PG-13,13019253,20362201,2000,8,August,3,2000,Summer,1.56400686,432,447,0.7461,0.772,$10–50M,The Crew
Duets,2000-09-15,Drama,R,4734235,7404372,2000,9,September,3,2000,Fall,1.564006012,518,525,0.8946,0.9067,<$10M,Duets
Remember the Titans,2000-09-29,Drama,PG,115654751,180742479,2000,9,September,3,2000,Fall,1.562776085,87,95,0.1503,0.1641,$100–300M,Remember the Titans
Unbreakable,2000-11-22,Thriller/Suspense,PG-13,94999143,148208901,2000,11,November,4,2000,Fall,1.560107769,109,121,0.1883,0.209,$50–100M,Unbreakable
